head,relation,tail
Joseph Robinette Biden,Threaten,Romania
Michael Sata,Make pessimistic comment,Citizen (Zambia)
Head of Government (Gambia),Make statement,Gambia
Malaysia,Expel or deport individuals,Citizen (Malaysia)
Vietnam,Host a visit,Member of Legislative (Govt) (Myanmar)
Police (Ukraine),Engage in material cooperation,Militant (Ukraine)
Andrej Kiska,Make an appeal or request,Party Member (Slovakia)
Middle East,Host a visit,Pope Francis
Citizen (Venezuela),Express intent to engage in diplomatic cooperation (such as policy support),Student (Venezuela)
Mohammad Javad Zarif,Engage in negotiation,Sergey Viktorovich Lavrov
Treasury/Finance Ministry (Thailand),Make statement,Thailand
Mohammad Javad Zarif,Consult,Jack Straw
Lawmaker (Japan),Express intent to meet or negotiate,North Korea
Riek Machar,Make a visit,Tanzania
Mexico,Make statement,Japan Self-Defense Forces
China,Provide military protection or peacekeeping,South Sudan
Morocco,Make a visit,Iran
Military Personnel - Special (Afghanistan),Mobilize or increase armed forces,Afghanistan
Activist (Thailand),Make an appeal or request,Thailand
Governor (Thailand),Make pessimistic comment,Citizen (Thailand)
North Atlantic Treaty Organization,Host a visit,Ashraf Ghani Ahmadzai
Andris Piebalgs,Make statement,Mauritania
North Korea,Occupy territory,South Korea
Party Member (Iraq),Reduce relations,Iraq
Student Dissident (Hong Kong),"Protest violently, riot",Police (Hong Kong)
Sergey Viktorovich Lavrov,Engage in negotiation,Foreign Affairs (Belarus)
Uganda People's Defence Force,Make statement,Military Personnel - Special (United States)
China,Impose administrative sanctions,Lawmaker (United Kingdom)
Thailand,"Arrest, detain, or charge with legal action",Hezbollah
Member of Legislative (Govt) (South Korea),Consult,Xi Jinping
Defense / Security Ministry (North Korea),Make statement,North Korea
Armed Gang (Peru),fight with small arms and light weapons,Police (Peru)
Foreign Affairs (South Korea),Express intent to meet or negotiate,China
Protester (Hong Kong),Halt negotiations,Student (Hong Kong)
Thailand,Appeal for judicial cooperation,Cambodia
Coup D'etat Leader (Thailand),Ease curfew,Citizen (Thailand)
Men (Indonesia),Physically assault,Police (Indonesia)
Mohammad Javad Zarif,Make a visit,Iraq
Kofi Annan,Praise or endorse,Iran
Mexico,Sign formal agreement,South Africa
Xi Jinping,Express intent to engage in diplomatic cooperation (such as policy support),Macky Sall
South Sudan,Host a visit,Seyoum Mesfin
Al Wefaq National Islamic Society,Make statement,Bahrain
Citizen (South Korea),Make optimistic comment,South Korea
Military (Thailand),Impose administrative sanctions,Thailand
Philippines,Praise or endorse,Military (Philippines)
Military (South Sudan),Sign formal agreement,South Sudan
Japan,Host a visit,Kuwait
Iran,Sign formal agreement,Kuwait
European Parliament,"Abduct, hijack, or take hostage",Citizen (Belgium)
Ministry (Iran),Make a visit,China
UN Security Council,Criticize or denounce,Government (Syria)
Foreign Affairs (Venezuela),Criticize or denounce,John Kerry
Barack Obama,Make statement,Arseniy Yatsenyuk
Iran,Reduce relations,Afghanistan
Foreign Affairs (Ukraine),Consult,Sergey Viktorovich Lavrov
Guinea,Engage in diplomatic cooperation,China
Assemblies (Pakistan),Make an appeal or request,Head of Government (Pakistan)
Pham Binh Minh,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States)
Yu Zhengsheng,Make an appeal or request,Japan
Mohammad Javad Zarif,Criticize or denounce,Iran
Citizen (Kenya),Make pessimistic comment,Government (Kenya)
Maldives,Express intent to engage in diplomatic cooperation (such as policy support),Japan
News Editor (Nigeria),Make an appeal or request,Citizen (Nigeria)
Enrico Letta,Make a visit,Mexico
Riek Machar,Use unconventional violence,Sudan
Mukhtar Ramalan Yero,Use conventional military force,Citizen (Nigeria)
Nuri al-Maliki,Criticize or denounce,Party Member (Iraq)
Naval (United States),Make a visit,Thailand
Protester (Hong Kong),Reject,China
Prayuth Chan-ocha,Make a visit,Myanmar
Lawyer/Attorney (Australia),Ease administrative sanctions,Priest (Australia)
Liyel Imoke,Make an appeal or request,Citizen (Nigeria)
Villager (Thailand),Bring lawsuit against,Citizen (Thailand)
Military (Sierra Leone),"Impose blockade, restrict movement",Sierra Leone
Government (Nigeria),Make statement,Militant (Nigeria)
Police (Australia),Express accord,Lawyer/Attorney (Australia)
Foreign Affairs (Belarus),Consult,Sergey Viktorovich Lavrov
Police (Yemen),Accuse,Armed Rebel (Yemen)
Barack Obama,Appeal to others to settle dispute,China
Foreign Affairs (United States),Express intent to meet or negotiate,China
Japan,Host a visit,Thaksin Shinawatra
Citizen (Nigeria),Accuse,Congress (Nigeria)
Xi Jinping,Praise or endorse,Head of Government (India)
Citizen (Kenya),Express intent to cooperate,Police (Kenya)
Armenia,Host a visit,Giorgi Kvirikashvili
North Korea,Host a visit,Head of Government (China)
International Monetary Fund,Sign formal agreement,Paris Club
Reuven Rivlin,Host a visit,Vietnam
Sergey Viktorovich Lavrov,Make statement,China
Ethiopia,Engage in diplomatic cooperation,China
Uhuru Muigai Kenyatta,Make a visit,Angola
Citizen (Kenya),"Protest violently, riot",Police (Kenya)
William Ruto,Demand diplomatic cooperation (such as policy support),Citizen (Kenya)
Protester (Ukraine),Make statement,Yulia Tymoshenko
Police (Israel),Sexually assault,Children (Israel)
China,Express intent to cooperate,Malaysia
China,Host a visit,Mainland Affairs Council
Military (United Kingdom),Make an appeal or request,Citizen (United Kingdom)
North Korea,Use conventional military force,South Korea
Angela Merkel,Make an appeal or request,Abdel Fattah Al-Sisi
Afghanistan,Make a visit,Romania
United Arab Emirates,Host a visit,Joao Lourenco
Alfred Mutua,Appeal for diplomatic cooperation (such as policy support),Citizen (Kenya)
Pham Binh Minh,Consult,Cabinet / Council of Ministers / Advisors (United States)
John Kerry,Accuse,Benjamin Netanyahu
Iraq,Host a visit,Turkish Airlines
Barack Obama,Consult,China
Court Judge (India),Coerce,Citizen (India)
Abdel Fattah Al-Sisi,Host a visit,Dimitrios Avramopoulos
Pope Francis,Make an appeal or request,Shimon Peres
North Korea,Demand,South Korea
Will Hodgman,Appeal for material cooperation,Malcolm Bligh Turnbull
Iran,Make pessimistic comment,Mexico
Xi Jinping,Consult,Royal Administration (Saudi Arabia)
South Korea,Host a visit,Government Official (United States)
Student (Lebanon),Host a visit,Rafiq Hariri
Sergey Viktorovich Lavrov,Engage in negotiation,Iraq
Citizen (Guinea),Use unconventional violence,Guinea
Citizen (Sudan),Make pessimistic comment,Umar al Bashir
Media Personnel (France),Consult,François Hollande
Angola,Make a visit,Media (China)
South Africa,Praise or endorse,Iran
France,Engage in symbolic act,Canadian Armed Forces
Foreign Affairs (Israel),Make a visit,Philippines
Ashraf Ghani Ahmadzai,Consult,Barack Obama
Government (Kenya),Engage in diplomatic cooperation,Uhuru Muigai Kenyatta
Congress (United States),Accuse,Iran
Canada,Express intent to engage in diplomatic cooperation (such as policy support),China
Abdullah Gül,Consult,François Hollande
Barack Obama,Express intent to meet or negotiate,North Atlantic Treaty Organization
Prayuth Chan-ocha,Appeal to engage in or accept mediation,Military (Thailand)
Citizen (India),Express intent to meet or negotiate,Oommen Chandy
François Hollande,Make a visit,Comoros
Afghanistan,Use tactics of violent repression,Media Personnel (Pakistan)
Ministry (Kuwait),Make a visit,Sheikh Ali Salman
Sergey Viktorovich Lavrov,Express intent to settle dispute,China
Xi Jinping,Engage in negotiation,Head of Government (Egypt)
UN Security Council,Praise or endorse,Morocco
Media Personnel (Pakistan),Make an appeal or request,Government (Pakistan)
China,Sign formal agreement,Ashraf Ghani Ahmadzai
François Hollande,Make statement,Military (France)
Colombia,Engage in negotiation,National Liberation Army
Mexico,Make statement,Associated Press
Armed Gang (Egypt),fight with small arms and light weapons,Police (Egypt)
Mexico,Discuss by telephone,Barack Obama
Court Judge (India),Engage in symbolic act,Men (India)
Kazakhstan,Demand diplomatic cooperation (such as policy support),Armenia
Vietnam,Engage in diplomatic cooperation,Philippines
North Korea,Sign formal agreement,South Korea
Elizabeth II,Express intent to meet or negotiate,Pope Francis
Uhuru Muigai Kenyatta,Appeal for change in leadership,Governor (Kenya)
Xi Jinping,Praise or endorse,South Africa
Representatives (Romania),Consult,Victor Ponta
Government (Sudan),fight with small arms and light weapons,Citizen (Sudan)
Yair Lapid,Give ultimatum,Benjamin Netanyahu
France,Host a visit,Foreign Affairs (Middle East)
Court Judge (Kenya),Ease administrative sanctions,Police (Kenya)
UN Security Council,Consult,Herve Ladsous
Government (United States),Praise or endorse,Japan
Other Authorities / Officials (Nigeria),Discuss by telephone,Military Personnel (Nigeria)
China,Engage in symbolic act,Military (China)
Mohammad Javad Zarif,Make a visit,Iran
Panhellenic Socialist Movement,Criticize or denounce,Coalition of the Radical Left
Hamas,fight with small arms and light weapons,Israeli Defense Forces
Afghanistan,Praise or endorse,Abdullah Abdullah
Military (China),Increase military alert status,South Korea
Philippines,Host a visit,Edwin Lacierda
Gabriel Torwua Suswam,Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria)
Campbell Newman,Make statement,Member of Parliament (Australia)
Court Judge (Nigeria),Express intent to cooperate,Citizen (Nigeria)
John Kerry,Express intent to meet or negotiate,Iraq
Barack Obama,Make statement,Benjamin Netanyahu
National Council for Peace and Order of Thailand,"Demand meeting, negotiation",Amnesty International
North Atlantic Treaty Organization,Engage in negotiation,Pavlo Klimkin
Pope Francis,Express intent to settle dispute,Iraq
Association of Southeast Asian Nations,Express intent to cooperate,Japan
Japan,Express intent to engage in diplomatic cooperation (such as policy support),Myanmar
Legislature (Iraq),Host a visit,Nuri al-Maliki
Iran,Host a visit,Emma Bonino
Myanmar,Make a visit,Philippines
Education Ministry (Angola),Sign formal agreement,Government (Angola)
Protester (Thailand),Threaten with military force,Thailand
Education Ministry (Angola),Make statement,Angola
François Hollande,Consult,France
Zhang Dejiang,Express intent to meet or negotiate,Colombia
Vietnam,Host a visit,Nguyen Phu Trong
Frank Mba,Make statement,Other Authorities / Officials (Nigeria)
Xi Jinping,Make optimistic comment,Maldives
Willem-Alexander,Consult,Xi Jinping
Børge Brende,Express intent to meet or negotiate,Sergey Viktorovich Lavrov
Vietnam,Consult,Thailand
Citizen (India),Consult,Member of Parliament (India)
Cambodia,Praise or endorse,Japan
Human Rights Watch,Make an appeal or request,African Union
Police (Sudan),Use conventional military force,Citizen (Sudan)
Indigenous People (Nigeria),Provide humanitarian aid,Citizen (Nigeria)
Citizen (South Korea),Accuse,Military Personnel (South Korea)
Viktor Orban,Make a visit,South Korea
Medical Personnel (Nigeria),Express intent to provide humanitarian aid,Citizen (Nigeria)
Xi Jinping,Make a visit,Head of Government (New Zealand)
China,Host a visit,Defense / Security Ministry (United States)
Sudan,Host a visit,Sergey Viktorovich Lavrov
Fessehaye Yohannes,Express intent to meet or negotiate,Citizen (Nigeria)
Japan,Sign formal agreement,North Korea
Guatemala,Host a visit,Rudy Giuliani
Paris Club,Engage in diplomatic cooperation,International Monetary Fund
Paraguay,Consult,Horacio Cartes
Citizen (India),Complain officially,Member of Parliament (India)
François Hollande,Host a visit,Elizabeth II
Businessperson (Kenya),Make an appeal or request,Government (Kenya)
Barnaba Marial Benjamin,Make a visit,South Sudan
Japan,Express intent to engage in diplomatic cooperation (such as policy support),Thailand
Iraq,Demand,Barack Obama
Iraq,Praise or endorse,Iran
Police (Greece),Make an appeal or request,Citizen (Greece)
Iran,Engage in negotiation,France
Foreign Affairs (United States),Make a visit,Thailand
Japan,Provide aid,Vietnam
Joachim Gauck,Host a visit,Royal Administration (Spain)
Japan,Express intent to cooperate,Philippines
Democratic Party (Nigeria),Praise or endorse,Government (Nigeria)
Tony Tan Keng Yam,Make statement,China
Joe Natuman,Make a visit,Vietnam
Scotland Yard,Make a visit,Portugal
Iran,Make pessimistic comment,Reserve Personnel (Iran)
AK Singh,"Arrest, detain, or charge with legal action",Citizen (India)
Nir Barkat,Praise or endorse,Pope Francis
China,Accuse,Canada
Tanzania,Criticize or denounce,Citizen (Tanzania)
South Korea,"Reject plan, agreement to settle dispute",North Korea
Philippines,Express intent to engage in diplomatic cooperation (such as policy support),Islamic Rebel (Philippines)
Ministry (Nigeria),Threaten,Citizen (Nigeria)
Protester (Ukraine),"Obstruct passage, block",Police (Ukraine)
Military Personnel (Armenia),Engage in negotiation,Seyran Ohanyan
Algirdas Butkevičius,Engage in symbolic act,Taavi Rõivas
Head of Government (Pakistan),Engage in negotiation,John Kerry
Joseph Robinette Biden,Make a visit,Abdelilah Benkirane
Indigenous People (India),Reduce relations,Citizen (India)
Governor (Kenya),Consult,William Ruto
Opposition Supporter (Pakistan),Engage in negotiation,Government (Pakistan)
François Hollande,Host a visit,Head of Government (Chad)
John Kerry,Engage in negotiation,Abdullah Abdullah
Angola,Host a visit,John Kerry
François Hollande,Consult,Arnaud Montebourg
Yasuo Fukuda,Consult,Xi Jinping
Citizen (United Kingdom),Express intent to meet or negotiate,China
Cambodia,Consult,Myanmar
Federica Mogherini,Consult,Shimon Peres
Government (Nigeria),Make empathetic comment,Citizen (Nigeria)
North Atlantic Treaty Organization,Express intent to meet or negotiate,Foreign Affairs (Russia)
Cabinet / Council of Ministers / Advisors (Thailand),Consult,National Council for Peace and Order of Thailand
Other Authorities / Officials (Bahrain),"Arrest, detain, or charge with legal action",Sheikh Ali Salman
Japan,Consult,Vietnam
Police (South Africa),Demand,Men (South Africa)
China,Deny responsibility,Malaysia
Villager (India),Accuse,Citizen (India)
Iran,Host a visit,Børge Brende
Iran,Express intent to meet or negotiate,Japan
Djibouti,Consult,Ethiopia
Afghanistan,Make an appeal or request,Election Commission (Afghanistan)
Court Judge (India),"Return, release person(s)",Men (India)
Barack Obama,Sign formal agreement,Iran
Citizen (Nigeria),Criticize or denounce,Bukola Saraki
China,Express intent to meet or negotiate,France
Citizen (India),Demonstrate or rally,Medical Personnel (India)
Education (Nigeria),Criticize or denounce,Citizen (Nigeria)
Angela Merkel,Express intent to meet or negotiate,François Hollande
Mamnoon Hussain,Express intent to engage in diplomatic cooperation (such as policy support),Xi Jinping
Leopoldo López,"Return, release person(s)",Citizen (Venezuela)
Sheikh Hamad bin Isa al Khalifah,Make a visit,Kazakhstan
Victor Ponta,Make an appeal or request,Constitutional Court (Romania)
Citizen (South Korea),Make optimistic comment,Japan
